Date,Category,Amount,Description
2024-01-01,Food,43.89,Lunch with friends
2024-01-01,Transport,38.21,Ride-hailing trip
2024-01-02,Rent,476.21,Advance rent payment
2024-01-02,Transport,17.58,Metro card reload
2024-01-03,Education,269.61,Books & stationery
2024-01-04,Food,3.25,Lunch with friends
2024-01-05,Transport,10.19,Fuel for car
2024-01-05,Shopping,15.41,Home essentials
2024-01-05,Health,94.17,Pharmacy purchase
2024-01-05,Health,114.45,Dental checkup
2024-01-07,Shopping,255.13,Home essentials
2024-01-08,Food,4.27,Cafe coffee & snack
2024-01-09,Travel,349.07,Flight ticket
2024-01-10,Food,28.78,Lunch with friends
2024-01-11,Miscellaneous,76.81,Pet supplies
2024-01-12,Miscellaneous,76.78,Charity donation
2024-01-15,Entertainment,106.04,Movie tickets
2024-01-15,Utilities,123.65,Water bill
2024-01-15,Transport,5.09,Fuel for car
2024-01-16,Food,6.32,Dinner takeout
2024-01-19,Education,122.87,Books & stationery
2024-01-21,Shopping,182.95,Clothes & accessories
2024-01-21,Rent,320.21,Security deposit top-up
2024-01-23,Entertainment,58.13,Arcade games
2024-01-25,Miscellaneous,40.87,Charity donation
2024-01-25,Food,34.92,Weekend brunch
2024-01-25,Miscellaneous,45.19,Charity donation
2024-01-28,Food,13.27,Lunch with friends
2024-02-02,Transport,3.48,Ride-hailing trip
2024-02-02,Food,28.5,Weekend brunch
2024-02-04,Shopping,364.18,Clothes & accessories
2024-02-05,Entertainment,96.8,Streaming subscription
2024-02-06,Transport,37.2,Bus fare
2024-02-07,Food,49.01,Groceries at supermarket
2024-02-08,Rent,394.94,Advance rent payment
2024-02-08,Transport,4.56,Metro card reload
2024-02-10,Transport,11.14,Ride-hailing trip
2024-02-10,Utilities,138.94,Gas bill
2024-02-11,Miscellaneous,32.61,Charity donation
2024-02-11,Rent,688.41,Security deposit top-up
2024-02-12,Shopping,82.34,Clothes & accessories
2024-02-16,Utilities,101.82,Internet subscription
2024-02-16,Rent,532.56,Security deposit top-up
2024-02-18,Miscellaneous,5.4,Bank fee
2024-02-18,Miscellaneous,15.89,Charity donation
2024-02-20,Entertainment,80.07,Movie tickets
2024-02-20,Utilities,115.74,Electricity bill
2024-02-20,Food,24.88,Cafe coffee & snack
2024-02-22,Miscellaneous,29.1,Bank fee
2024-02-23,Food,28.24,Cafe coffee & snack
2024-02-23,Utilities,145.84,Internet subscription
2024-02-27,Entertainment,14.02,Movie tickets
2024-02-27,Entertainment,110.25,Arcade games
2024-03-01,Transport,8.5,Bus fare
2024-03-05,Entertainment,6.8,Streaming subscription
2024-03-07,Miscellaneous,52.61,Charity donation
2024-03-09,Entertainment,117.7,Arcade games
